iter	Logloss
0	0.6775556596
1	0.6593456588
2	0.6431745817
3	0.629316916
4	0.6176852434
5	0.6052405927
6	0.5943038344
7	0.5856237571
8	0.575229794
9	0.566043662
10	0.5572725435
11	0.5483200244
12	0.5398717273
13	0.5324755621
14	0.5277069774
15	0.5214997617
16	0.516579953
17	0.5108431598
18	0.5050972027
19	0.5012482371
20	0.4980616223
21	0.4934861167
22	0.4890226226
23	0.4846343994
24	0.482515431
25	0.4795143085
26	0.4765952339
27	0.4739627092
28	0.4701181763
29	0.4676146694
30	0.4663229148
31	0.4633790767
32	0.4603894196
33	0.4576918107
34	0.4556290184
35	0.4532353066
36	0.4508950431
37	0.4485935659
38	0.4467656226
39	0.444909506
40	0.4435913256
41	0.4418598367
42	0.4408767956
43	0.4394337318
44	0.4375375929
45	0.4362344156
46	0.4347412706
47	0.4331766054
48	0.4316753196
49	0.4307771821
50	0.4297168242
51	0.4283111402
52	0.427190429
53	0.4260187415
54	0.4247429704
55	0.4235273819
56	0.4228630279
57	0.4221834151
58	0.4213351884
59	0.4200488043
60	0.4191876204
61	0.418336197
62	0.4176781511
63	0.416783807
64	0.4165088504
65	0.4157915169
66	0.4150083318
67	0.4145437912
68	0.4135189802
69	0.4128797307
70	0.4120994866
71	0.411374822
72	0.4106471738
73	0.4098447235
74	0.4092379096
75	0.4092010413
76	0.4084828979
77	0.4077054242
78	0.4071277213
79	0.4064323809
80	0.4058011018
81	0.4056670546
82	0.4050324509
83	0.4043345957
84	0.4040526065
85	0.4035717415
86	0.4034667628
87	0.4031205843
88	0.4029548261
89	0.4028535981
90	0.4020577543
91	0.401577827
92	0.4010166616
93	0.4005977695
94	0.4000925245
95	0.3997966404
96	0.3996412394
97	0.3994605208
98	0.3991159194
99	0.3986404675
