iter	Passed	Remaining
0	0	39
1	1	65
2	2	69
3	2	70
4	3	70
5	4	70
6	5	70
7	5	64
8	6	64
9	7	64
10	7	63
11	8	63
12	9	63
13	10	63
14	10	59
15	11	59
16	12	59
17	12	57
18	13	57
19	13	54
20	14	52
21	14	52
22	15	52
23	16	51
24	16	49
25	17	49
26	18	49
27	18	47
28	19	47
29	20	46
30	20	45
31	21	45
32	21	44
33	22	44
34	23	42
35	23	42
36	24	41
37	25	41
38	26	40
39	26	40
40	27	39
41	28	39
42	28	38
43	29	37
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	34	34
50	35	33
51	36	33
52	36	32
53	37	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	29
59	42	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	24
65	47	24
66	47	23
67	48	22
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	4
93	67	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
